Function	mainrole	subrole	MGE	subsystem	Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
P-type conjugative transfer protein VirB9	Cellular processes	Conjugation	conjugation	T4SS Core Proteins	VirB9						
type IV conjugative transfer system protein TraV	Uncategorized	Uncategorized	conjugation	T4SS Core Proteins	TraV						
type-F conjugative transfer system secretin TraK	Uncategorized	Uncategorized	conjugation	T4SS Core Proteins	TraK_Ftype						
plasmid transfer ATPase TraJ	Mobile and extrachromosomal element functions	Plasmid functions	conjugation	Transcription Regulation	plasmid_TraJ						
phage shock operon rhodanese PspE	Uncategorized	Uncategorized	phage	Bacterial Defence	phageshock_pspE						
phage shock protein A	Cellular processes	Adaptations to atypical conditions	phage	Bacterial Defence	phageshock_pspA						
phage shock protein B	Cellular processes	Adaptations to atypical conditions	phage	Bacterial Defence	phageshock_pspB	15.18925877	3.332824763	0.789615698	4.220818776	2.43E-05	0.000273523
phage shock protein C	Cellular processes	Adaptations to atypical conditions	phage	Bacterial Defence	phageshock_pspC						
phage shock protein G	Cellular processes	Adaptations to atypical conditions	phage	Bacterial Defence	phageshock_pspG	50.54716536	3.062172463	0.713736744	4.290338825	1.78E-05	0.000211603
phage shock protein PspD	Cellular processes	Adaptations to atypical conditions	phage	Bacterial Defence	phageshock_pspD						
"_phage holin, LL-H family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Bacterial Lysis	holin_LLH	1013.221541	0.980531616	0.370270662	2.648148282	0.008093402	0.027758093
"_phage major capsid protein, HK97 family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Bacterial Lysis	major_cap_HK97	94242.93678	0.824437106	0.178750521	4.612222107	3.98E-06	5.61E-05
"_phage conserved hypothetical protein, C-terminal domain_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Others	phg_TIGR02220						
"_phage-associated protein, HI1409 family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Others	phge_rel_HI1409						
"_phage/conjugal plasmid C-4 type zinc finger protein, TraR family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Others	C4_traR_proteo						
"_RNA ligase, Rnl2 family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Others	RNA_lig_RNL2						
"_phage conserved hypothetical protein, phiE125 gp8 family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Others	phage_chp_gp8	114.8550337	-1.526053564	0.456906979	-3.339965536	0.000837888	0.004707607
"_phage uncharacterized protein, C-terminal domain_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Others	psiM2_ORF9	15032.8195	-0.596727498	0.228389708	-2.612760019	0.008981434	0.029767703
phage virion morphogenesis protein	Mobile and extrachromosomal element functions	Prophage functions	phage	Others	tail_comp_S	189.6218582	1.76148288	0.440571105	3.998180684	6.38E-05	0.000596845
"_phage portal protein, lambda family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Phage DNA Packaging	portal_lambda						
"_phage portal protein, putative, A118 family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Phage DNA Packaging	A118_put_portal	174.8917384	-1.382868898	0.507481697	-2.724963101	0.006430867	0.023403242
"_phage portal protein, SPP1 family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Phage DNA Packaging	portal_SPP1	11455.06802	1.106006967	0.29557763	3.741849367	0.000182671	0.00137648
"_phage major capsid protein, P2 family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Phage Head	major_capsid_P2	73.99963819	2.992402777	0.706426026	4.235974705	2.28E-05	0.000257971
putative phage head-tail adaptor	Mobile and extrachromosomal element functions	Prophage functions	phage	Phage Head	gp16_SPP1	11225.85551	0.579717273	0.118601168	4.887955862	1.02E-06	1.79E-05
"_phage prohead protease, HK97 family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Phage Head	proheadase_HK97						
"_phage major tail protein, phi13 family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Phage Tail	maj_tail_phi13	30276.6439	0.497109236	0.15363449	3.235661716	0.001213611	0.006319658
"_phage major tail protein, TP901-1 family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Phage Tail	phgtail_TP901_1	2960.106507	1.418523977	0.330457359	4.292608224	1.77E-05	0.000210425
"_phage tail tape measure protein, lambda family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Phage Tail	tape_meas_lam_C	206.010867	1.827844366	0.515123795	3.548359413	0.000387639	0.002514255
phage minor tail protein G	Mobile and extrachromosomal element functions	Prophage functions	phage	Phage Tail	phage_lambda_G	49.79415325	2.49455273	0.70454398	3.540662898	0.000399123	0.002573146
phage minor tail protein L	Mobile and extrachromosomal element functions	Prophage functions	phage	Phage Tail	phage_tail_L	58.35170568	2.490824513	0.638381944	3.901777824	9.55E-05	0.000842774
phage tail assembly protein T	Mobile and extrachromosomal element functions	Prophage functions	phage	Phage Tail	phage_lam_T	39.4746128	2.762056729	0.726590582	3.801393518	0.000143885	0.001151976
"_putative phage tail component, N-terminal domain_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Phage Tail	phi3626_gp14_N						
"_phage minor structural protein, N-terminal region_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Prophage Replication & Expression	put_anti_recept	63540.19387	0.960295313	0.11660968	8.235125212	1.79E-16	2.87E-14
"_phage portal protein, HK97 family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Prophage Replication & Expression	portal_HK97	57646.96775	0.571821382	0.222826275	2.566220624	0.010281341	0.032439404
"_phage regulatory protein, Rha family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Prophage Replication & Expression	phage_pRha	1954.351709	0.947906375	0.369148664	2.567817435	0.010234104	0.032410104
"_phage replication protein O, N-terminal domain_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Prophage Replication & Expression	phage_O_Nterm	33.33348563	2.013712083	0.55356429	3.637720352	0.000275062	0.001884247
"_phage/plasmid replication protein, gene II/X family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Prophage Replication & Expression	rep_II_X	215.0545372	-1.657367538	0.660462214	-2.509405539	0.012093456	0.036322899
phage nucleotide-binding protein	Mobile and extrachromosomal element functions	Prophage functions	phage	Prophage Replication & Expression	phage_P_loop	74.94630666	-2.790597543	0.519804548	-5.368551608	7.94E-08	1.94E-06
"_phage replisome organizer, putative, N-terminal region_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Prophage Replication & Expression	phage_rep_org_N						
"_phage terminase, large subunit, PBSX family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Prophage Replication & Expression	phage_term_2						
"_phage transcriptional regulator, ArpU family_"	Mobile and extrachromosomal element functions	Prophage functions	phage	Prophage Replication & Expression	phage_arpU						
"_Bacteroides conjugation system ATPase, TraG family_"	Cellular processes	DNA transformation	transposon	Others	Bac_Flav_CT_G	521.5147662	-3.572991442	0.96497912	-3.70266192	0.000213349	0.001570691
Bacteroides conjugative transposon TraJ protein	Cellular processes	DNA transformation	transposon	Others	Bac_Flav_CT_J	601.6061138	-3.629601626	1.128880687	-3.215221651	0.001303438	0.00673268
Bacteroides conjugative transposon TraK protein	Cellular processes	DNA transformation	transposon	Others	Bac_Flav_CT_K	124.2803588	-3.790103027	1.011291954	-3.74778323	0.000178404	0.001352284
Bacteroides conjugative transposon TraM protein	Cellular processes	DNA transformation	transposon	Others	Bac_Flav_CT_M	282.2154861	-3.366461473	1.054984315	-3.191006183	0.001417782	0.007194344
Bacteroides conjugative transposon TraN protein	Cellular processes	DNA transformation	transposon	Others	Bac_Flav_CT_N	189.5258746	-3.23284528	1.021026991	-3.166268188	0.001544084	0.007682355
